,Number of Referrals,Tenure in Months,Offer,Internet Service,Contract,Payment Method,Total Charges,Total Revenue,Customer Status
3159,4,42,None,No,One Year,Bank Withdrawal,761.85,2217.57,0
3160,2,51,Offer B,Yes,One Year,Mailed Check,5000.05,5939.47,0
3161,1,58,None,No,Two Year,Credit Card,1509.9,3220.9,0
3162,1,12,Offer D,Yes,Month-to-Month,Credit Card,999.8,1535.0,0
3163,10,9,None,No,One Year,Credit Card,172.35,285.3,0
3164,0,2,Offer E,Yes,Month-to-Month,Bank Withdrawal,84.4,178.2,0
3165,0,46,Offer B,No,One Year,Credit Card,1165.9,1377.5,0
3166,0,7,None,No,Month-to-Month,Bank Withdrawal,112.3,176.28,1
3167,1,8,Offer E,Yes,One Year,Credit Card,345.5,399.74,0
3168,0,16,None,Yes,Month-to-Month,Credit Card,1129.35,1298.0,0
3169,5,55,None,Yes,One Year,Credit Card,3157.0,5186.35,0
3170,0,10,None,Yes,Month-to-Month,Bank Withdrawal,830.7,1327.7,1
3171,0,16,Offer D,Yes,Month-to-Month,Bank Withdrawal,1194.3,1946.14,1
3172,0,5,Offer E,Yes,Month-to-Month,Bank Withdrawal,474.8,647.25,1
3173,0,52,None,Yes,One Year,Credit Card,3042.25,4801.93,0
3174,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,69.65,118.89,1
3175,1,70,None,Yes,Month-to-Month,Bank Withdrawal,7101.5,8307.76,1
3176,10,62,Offer B,Yes,Month-to-Month,Bank Withdrawal,6164.7,7098.42,0
3177,3,49,Offer B,Yes,Month-to-Month,Credit Card,4547.25,5670.33,1
3178,0,4,None,No,Month-to-Month,Credit Card,78.3,246.06,0
3179,1,17,Offer D,Yes,Month-to-Month,Bank Withdrawal,1574.45,2287.6,1
3180,8,14,Offer D,Yes,Month-to-Month,Bank Withdrawal,1185.0,1822.98,0
3181,0,59,Offer B,Yes,One Year,Bank Withdrawal,4070.95,5891.83,0
3182,0,47,None,Yes,One Year,Credit Card,2813.05,4051.5,0
3183,5,71,None,No,Two Year,Bank Withdrawal,1710.15,4789.42,0
3184,1,47,None,Yes,Month-to-Month,Bank Withdrawal,5118.95,6892.73,1
3185,0,5,None,Yes,Month-to-Month,Bank Withdrawal,500.1,695.75,0
3186,1,11,Offer D,Yes,Month-to-Month,Bank Withdrawal,483.7,756.83,1
3187,3,41,None,Yes,One Year,Bank Withdrawal,4454.25,5291.06,0
3188,0,52,None,Yes,Two Year,Credit Card,3342.45,5876.93,0
3189,0,9,Offer E,No,Month-to-Month,Credit Card,181.8,305.28,0
3190,0,9,None,Yes,Month-to-Month,Bank Withdrawal,405.7,766.37,0
3191,0,10,None,Yes,Month-to-Month,Bank Withdrawal,846.0,1117.0,1
3192,0,12,Offer D,No,Two Year,Bank Withdrawal,212.3,419.06,0
3193,0,22,None,Yes,One Year,Credit Card,1193.05,1930.71,1
3194,9,52,None,Yes,One Year,Bank Withdrawal,3482.85,3752.51,0
3195,3,43,None,Yes,Month-to-Month,Bank Withdrawal,2499.3,4101.05,1
3196,0,13,Offer D,Yes,Month-to-Month,Bank Withdrawal,649.4,649.4,0
3197,0,3,Offer E,Yes,Month-to-Month,Bank Withdrawal,246.3,271.9,1
3198,1,16,None,Yes,Month-to-Month,Bank Withdrawal,1540.05,1787.09,0
3199,5,45,None,No,One Year,Credit Card,1174.35,3195.3,0
3200,5,4,None,Yes,Month-to-Month,Bank Withdrawal,325.45,519.37,1
3201,0,3,Offer E,Yes,Month-to-Month,Bank Withdrawal,246.5,343.79,1
3202,1,6,Offer E,Yes,Month-to-Month,Bank Withdrawal,545.2,709.84,1
3203,0,1,Offer E,No,Month-to-Month,Credit Card,19.6,24.96,1
3204,1,70,Offer A,No,Two Year,Bank Withdrawal,1724.15,3721.95,0
3205,1,3,Offer E,Yes,Month-to-Month,Credit Card,91.7,91.7,1
3206,0,56,None,No,One Year,Bank Withdrawal,1334.0,1478.48,1
3207,0,24,None,Yes,Month-to-Month,Bank Withdrawal,2440.15,3135.67,1
3208,1,25,Offer C,Yes,Month-to-Month,Bank Withdrawal,2514.5,2995.07,1
3209,0,53,None,Yes,One Year,Bank Withdrawal,2879.2,2879.2,0
3210,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,69.85,81.98,1
3211,1,25,None,Yes,One Year,Bank Withdrawal,2178.6,3200.35,1
3212,1,8,None,Yes,Month-to-Month,Bank Withdrawal,369.15,615.31,0
3213,1,27,None,No,Two Year,Credit Card,550.1,614.9,0
3214,7,60,Offer B,Yes,One Year,Bank Withdrawal,2911.5,2911.5,0
3215,0,20,Offer D,Yes,One Year,Bank Withdrawal,1671.6,2135.2,0
3216,0,56,None,Yes,One Year,Bank Withdrawal,5510.65,7447.13,1
3217,0,1,None,Yes,Month-to-Month,Bank Withdrawal,81.1,103.96,1
3218,0,42,None,Yes,Two Year,Credit Card,2762.75,4222.67,0
3219,0,16,Offer D,No,One Year,Bank Withdrawal,318.6,1074.6,0
3220,1,65,Offer B,Yes,Two Year,Credit Card,7245.9,10184.55,0
3221,2,20,None,Yes,One Year,Bank Withdrawal,1859.5,2636.5,0
3222,0,33,Offer C,Yes,Two Year,Bank Withdrawal,3027.65,4599.77,0
3223,1,22,Offer D,No,Month-to-Month,Bank Withdrawal,471.55,928.71,0
3224,0,8,Offer E,Yes,Month-to-Month,Bank Withdrawal,226.45,226.45,1
3225,0,44,None,No,Two Year,Credit Card,905.55,967.15,0
3226,8,72,None,No,Two Year,Bank Withdrawal,1988.05,2173.09,0
3227,0,7,None,Yes,Month-to-Month,Bank Withdrawal,635.6,744.17,1
3228,10,51,Offer B,Yes,One Year,Credit Card,3950.85,5248.8,0
3229,0,69,None,Yes,Two Year,Credit Card,7467.55,9082.15,0
3230,0,57,Offer B,Yes,Month-to-Month,Bank Withdrawal,2111.45,2191.45,1
3231,0,35,None,Yes,One Year,Bank Withdrawal,3030.6,3923.45,1
3232,1,2,None,Yes,Month-to-Month,Bank Withdrawal,147.15,239.61,1
3233,0,15,None,Yes,Month-to-Month,Bank Withdrawal,1156.1,1414.55,1
3234,1,22,Offer D,No,One Year,Credit Card,433.5,1256.3,0
3235,0,53,Offer B,Yes,One Year,Credit Card,3419.5,5953.43,0
3236,0,9,Offer E,Yes,Month-to-Month,Credit Card,788.6,1107.65,0
3237,0,1,Offer E,No,Month-to-Month,Credit Card,20.35,50.21,0
3238,2,32,None,No,Two Year,Credit Card,613.95,1746.43,0
3239,10,34,None,Yes,Month-to-Month,Credit Card,3000.25,3475.23,0
3240,0,54,Offer B,Yes,One Year,Bank Withdrawal,3283.05,3507.69,0
3241,1,6,None,Yes,Month-to-Month,Bank Withdrawal,502.85,719.57,1
3242,9,62,None,No,One Year,Bank Withdrawal,1244.8,4218.32,0
3243,3,13,Offer D,Yes,Month-to-Month,Bank Withdrawal,734.35,982.0,1
3244,8,30,Offer C,No,Two Year,Credit Card,602.9,950.9,0
3245,5,55,None,No,One Year,Credit Card,1026.35,3019.0,0
3246,5,17,None,Yes,One Year,Bank Withdrawal,1201.65,1766.73,0
3247,4,7,None,Yes,Month-to-Month,Bank Withdrawal,580.1,617.86,0
3248,9,18,Offer D,Yes,Month-to-Month,Credit Card,1745.5,2271.58,0
3249,1,6,None,Yes,Month-to-Month,Credit Card,285.2,461.66,0
3250,0,53,None,Yes,Two Year,Bank Withdrawal,3958.25,4304.87,0
3251,1,16,None,Yes,Month-to-Month,Bank Withdrawal,1284.2,1571.56,1
3252,10,45,None,No,Two Year,Mailed Check,1088.25,3217.2,0
3253,9,64,None,Yes,One Year,Bank Withdrawal,6430.9,6671.54,0
3254,0,18,None,Yes,One Year,Credit Card,711.95,801.95,0
3255,9,70,Offer A,Yes,Two Year,Credit Card,5315.8,5895.4,0
3256,0,69,None,No,Two Year,Bank Withdrawal,1713.1,3247.66,0
3257,4,40,None,Yes,Month-to-Month,Credit Card,3915.4,5092.2,0
3258,1,21,None,Yes,Month-to-Month,Bank Withdrawal,2110.15,2460.22,1
3259,0,19,Offer D,Yes,Month-to-Month,Bank Withdrawal,1789.25,2533.78,1
3260,1,18,Offer D,Yes,Month-to-Month,Mailed Check,1500.5,1935.38,0
3261,0,1,None,No,Month-to-Month,Credit Card,20.05,23.28,0
3262,0,2,None,Yes,Month-to-Month,Bank Withdrawal,118.3,192.88,1
3263,7,33,Offer C,Yes,Two Year,Bank Withdrawal,2016.3,2016.3,0
3264,0,1,None,No,Month-to-Month,Credit Card,19.3,68.5,1
3265,9,60,Offer B,Yes,One Year,Credit Card,4456.35,7390.35,0
3266,6,72,None,Yes,Two Year,Credit Card,7758.9,9411.3,0
3267,0,2,None,Yes,Month-to-Month,Credit Card,96.45,160.95,1
3268,0,63,Offer B,Yes,Two Year,Credit Card,4861.45,5669.11,0
3269,0,12,Offer D,Yes,Month-to-Month,Bank Withdrawal,832.3,1381.9,0
3270,0,31,None,Yes,Month-to-Month,Bank Withdrawal,2724.25,4062.77,0
3271,6,71,Offer A,Yes,Two Year,Credit Card,6457.15,8681.58,0
3272,9,50,None,Yes,One Year,Bank Withdrawal,5265.5,5990.0,0
3273,0,54,Offer B,Yes,Two Year,Bank Withdrawal,2431.95,2431.95,0
3274,0,1,None,Yes,Month-to-Month,Bank Withdrawal,52.2,86.24,1
3275,0,11,None,Yes,Two Year,Bank Withdrawal,580.8,596.51,0
3276,1,44,None,Yes,One Year,Bank Withdrawal,3250.45,4528.37,0
3277,8,62,None,Yes,Two Year,Bank Withdrawal,6912.7,9059.14,0
3278,0,57,Offer B,Yes,One Year,Bank Withdrawal,4939.25,6995.81,0
3279,1,18,Offer D,No,One Year,Bank Withdrawal,342.3,1155.54,0
3280,5,70,Offer A,Yes,Two Year,Bank Withdrawal,6858.9,10025.7,0
3281,0,21,None,Yes,Month-to-Month,Credit Card,1992.55,2514.61,0
3282,0,17,None,Yes,Month-to-Month,Bank Withdrawal,770.6,1466.41,1
3283,3,42,None,Yes,Month-to-Month,Bank Withdrawal,3930.6,4891.98,0
3284,7,21,Offer D,Yes,One Year,Bank Withdrawal,1742.45,2047.16,0
3285,0,3,None,No,Month-to-Month,Bank Withdrawal,61.05,183.99,0
3286,0,8,None,No,Month-to-Month,Mailed Check,170.9,537.86,0
3287,1,18,None,Yes,Month-to-Month,Bank Withdrawal,990.85,1026.6,1
3288,0,2,None,Yes,Month-to-Month,Bank Withdrawal,179.25,222.39,1
3289,6,2,None,No,One Year,Credit Card,34.75,111.57,0
3290,0,51,None,No,Two Year,Credit Card,967.9,3388.36,0
3291,6,21,None,Yes,One Year,Bank Withdrawal,1549.75,2212.3,0
3292,1,55,None,Yes,Month-to-Month,Bank Withdrawal,2978.3,3028.3,1
3293,0,70,None,Yes,Two Year,Credit Card,6367.2,8544.3,0
3294,0,31,Offer C,Yes,Month-to-Month,Bank Withdrawal,1715.65,1773.08,1
3295,0,67,Offer A,Yes,One Year,Bank Withdrawal,3321.35,3321.35,0
3296,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,70.1,116.27,1
3297,0,21,None,No,Two Year,Mailed Check,390.4,743.41,0
3298,1,22,None,Yes,Month-to-Month,Bank Withdrawal,1554.0,2260.42,1
3299,0,11,None,Yes,Month-to-Month,Credit Card,906.85,951.95,1
3300,0,1,Offer E,Yes,Two Year,Bank Withdrawal,45.2,94.54,0
3301,1,72,None,No,Two Year,Credit Card,1872.2,4460.63,0
3302,6,34,None,No,One Year,Credit Card,917.15,1790.61,0
3303,6,29,Offer C,No,One Year,Bank Withdrawal,540.05,1343.93,0
3304,2,56,None,Yes,One Year,Credit Card,5614.45,7178.85,1
3305,7,5,None,Yes,Month-to-Month,Credit Card,316.9,403.75,0
3306,0,18,None,Yes,Month-to-Month,Credit Card,550.35,550.35,0
3307,4,20,None,No,Month-to-Month,Bank Withdrawal,417.65,1179.92,0
3308,0,2,Offer E,Yes,Month-to-Month,Bank Withdrawal,195.05,258.87,1
3309,0,45,None,Yes,Two Year,Bank Withdrawal,4634.35,5693.65,0
3310,3,20,None,Yes,One Year,Bank Withdrawal,2172.05,2723.25,0
3311,0,29,Offer C,No,One Year,Credit Card,599.3,1539.77,0
3312,0,50,Offer B,Yes,Two Year,Mailed Check,4024.2,6446.7,0
3313,0,11,Offer D,Yes,Month-to-Month,Credit Card,363.15,363.15,0
3314,1,72,Offer A,Yes,Two Year,Credit Card,6614.9,8566.1,0
3315,0,6,None,No,Month-to-Month,Mailed Check,100.9,193.9,0
3316,0,44,None,Yes,Month-to-Month,Bank Withdrawal,3862.55,5630.03,1
3317,1,72,None,Yes,Two Year,Credit Card,6094.25,6963.69,0
3318,0,48,None,Yes,Month-to-Month,Bank Withdrawal,4445.3,4644.5,0
3319,0,50,Offer B,Yes,Month-to-Month,Bank Withdrawal,3454.6,4816.1,0
3320,0,1,Offer E,Yes,Month-to-Month,Mailed Check,55.55,118.87,0
3321,0,1,None,Yes,Month-to-Month,Bank Withdrawal,24.75,24.75,1
3322,7,36,None,Yes,One Year,Credit Card,2234.55,2234.55,0
3323,9,7,None,No,Month-to-Month,Credit Card,144.35,424.21,0
3324,0,26,None,Yes,Month-to-Month,Bank Withdrawal,2515.3,3559.72,1
3325,0,40,None,No,Two Year,Mailed Check,804.85,1139.25,0
3326,5,72,None,Yes,Two Year,Credit Card,5016.65,8080.25,0
3327,5,63,None,Yes,Two Year,Credit Card,5034.05,5668.46,0
3328,0,2,Offer E,Yes,Month-to-Month,Bank Withdrawal,194.55,247.71,0
3329,5,60,Offer B,Yes,One Year,Bank Withdrawal,5812.0,6137.8,0
3330,1,47,None,No,Two Year,Bank Withdrawal,890.5,1010.82,0
3331,0,1,None,No,Month-to-Month,Credit Card,20.5,40.35,1
3332,0,25,Offer C,Yes,Month-to-Month,Credit Card,1902.0,2090.75,0
3333,0,4,None,Yes,Month-to-Month,Bank Withdrawal,302.35,396.35,0
3334,0,1,None,Yes,Month-to-Month,Credit Card,50.1,96.59,1
3335,1,37,None,No,One Year,Mailed Check,727.8,1665.75,0
3336,0,4,None,Yes,Month-to-Month,Bank Withdrawal,360.1,386.82,1
3337,7,72,None,Yes,Two Year,Bank Withdrawal,5480.25,8515.77,0
3338,2,67,Offer A,Yes,One Year,Bank Withdrawal,6816.95,8522.77,0
3339,7,59,None,Yes,One Year,Bank Withdrawal,4693.2,5889.13,0
3340,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,70.4,100.03,1
3341,9,43,None,Yes,Month-to-Month,Bank Withdrawal,4107.3,6234.94,0
3342,1,1,None,No,Month-to-Month,Mailed Check,19.45,48.18,1
3343,0,4,None,Yes,Month-to-Month,Bank Withdrawal,281.0,515.48,1
3344,1,9,Offer E,Yes,Month-to-Month,Mailed Check,663.05,720.2,1
3345,5,30,Offer C,Yes,Month-to-Month,Bank Withdrawal,2570.2,2875.9,0
3346,0,13,Offer D,No,Month-to-Month,Credit Card,232.1,834.0,0
3347,0,2,Offer E,Yes,Month-to-Month,Bank Withdrawal,144.8,231.92,0
3348,1,30,None,No,Two Year,Credit Card,637.55,978.95,0
3349,4,12,None,Yes,One Year,Credit Card,368.85,368.85,0
3350,8,63,None,Yes,Two Year,Credit Card,6705.7,6906.04,0
3351,0,48,Offer B,No,Two Year,Credit Card,1173.35,1742.63,0
3352,7,1,Offer E,No,Month-to-Month,Bank Withdrawal,20.15,38.78,0
3353,1,71,Offer A,Yes,Two Year,Bank Withdrawal,5831.2,8495.83,0
3354,10,61,Offer B,No,Two Year,Mailed Check,1417.9,2643.39,0
3355,0,5,Offer E,No,One Year,Bank Withdrawal,94.15,244.85,0
3356,1,46,None,Yes,One Year,Bank Withdrawal,2816.65,2966.65,1
3357,0,1,Offer E,No,Month-to-Month,Credit Card,20.2,31.45,1
3358,1,47,Offer B,Yes,One Year,Credit Card,5275.8,6164.81,1
3359,1,59,Offer B,Yes,One Year,Bank Withdrawal,5961.1,6595.94,1
3360,1,5,Offer E,Yes,Month-to-Month,Bank Withdrawal,371.65,577.41,1
3361,0,26,Offer C,No,One Year,Credit Card,457.3,1645.5,0
3362,0,40,None,Yes,Month-to-Month,Credit Card,2586.0,3048.4,0
3363,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,60.0,113.48,1
3364,0,7,Offer E,No,Month-to-Month,Bank Withdrawal,174.7,523.51,0
3365,1,48,Offer B,Yes,One Year,Credit Card,5037.55,5342.83,1
3366,0,1,Offer E,No,Month-to-Month,Credit Card,19.9,56.53,1
3367,1,11,None,Yes,Month-to-Month,Bank Withdrawal,346.45,319.21,0
3368,0,8,None,No,Month-to-Month,Bank Withdrawal,159.2,174.8,0
3369,0,38,Offer C,Yes,Month-to-Month,Bank Withdrawal,3734.25,5535.07,1
3370,1,34,Offer C,No,Month-to-Month,Credit Card,635.9,2104.19,0
3371,3,19,None,No,Two Year,Credit Card,387.4,989.7,0
3372,7,70,None,Yes,Two Year,Bank Withdrawal,7714.65,10167.59,0
3373,1,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,68.95,90.6,1
3374,0,4,Offer E,Yes,Month-to-Month,Bank Withdrawal,324.3,496.54,1
3375,0,51,Offer B,No,Two Year,Bank Withdrawal,1020.75,1982.16,0
3376,1,35,Offer C,Yes,One Year,Bank Withdrawal,2215.45,3074.0,0
3377,0,30,None,Yes,Month-to-Month,Credit Card,2723.15,3682.25,0
3378,4,8,Offer E,Yes,Month-to-Month,Bank Withdrawal,743.75,822.79,0
3379,1,4,None,Yes,Month-to-Month,Bank Withdrawal,99.95,99.95,0
3380,0,10,Offer D,No,One Year,Credit Card,185.2,639.4,0
3381,9,72,None,Yes,One Year,Credit Card,7537.5,10502.46,0
3382,0,2,Offer E,Yes,Month-to-Month,Bank Withdrawal,93.7,176.56,1
3383,0,23,Offer D,Yes,Month-to-Month,Bank Withdrawal,1676.95,2446.07,1
3384,2,50,None,Yes,One Year,Bank Withdrawal,5236.4,7046.9,0
3385,2,71,None,No,Two Year,Bank Withdrawal,1326.35,2521.99,0
3386,0,10,Offer D,Yes,Month-to-Month,Credit Card,818.05,1313.05,1
3387,0,30,Offer C,Yes,Month-to-Month,Bank Withdrawal,2983.8,3335.7,1
3388,1,29,Offer C,Yes,Month-to-Month,Bank Withdrawal,2265.25,3020.12,1
3389,0,20,None,Yes,Month-to-Month,Bank Withdrawal,1520.9,1757.3,1
3390,0,18,None,Yes,Month-to-Month,Credit Card,476.8,476.8,0
3391,6,32,None,Yes,Month-to-Month,Bank Withdrawal,2901.8,4453.48,0
3392,6,72,None,No,Two Year,Credit Card,1326.25,2913.85,0
3393,8,72,None,Yes,Two Year,Bank Withdrawal,7346.2,8664.2,0
3394,0,13,None,Yes,Month-to-Month,Bank Withdrawal,1058.6,1343.04,1
3395,0,8,Offer E,Yes,Month-to-Month,Bank Withdrawal,819.4,1143.0,1
3396,0,25,Offer C,Yes,Month-to-Month,Bank Withdrawal,2043.45,2251.2,1
3397,0,22,None,Yes,One Year,Bank Withdrawal,1820.9,2306.48,0
3398,10,42,None,No,Two Year,Bank Withdrawal,835.5,2757.0,0
3399,0,61,Offer B,Yes,One Year,Credit Card,2696.55,2696.55,0
3400,0,35,None,Yes,One Year,Credit Card,2495.15,2849.0,0
3401,0,40,Offer B,Yes,Month-to-Month,Credit Card,2971.7,3714.5,0
3402,0,1,None,Yes,Month-to-Month,Bank Withdrawal,86.05,124.83,1
3403,3,72,None,Yes,Two Year,Bank Withdrawal,6042.7,7885.26,0
3404,1,66,None,Yes,One Year,Credit Card,7210.85,10139.93,0
3405,0,20,Offer D,Yes,Month-to-Month,Credit Card,1023.85,1102.65,0
3406,1,16,Offer D,Yes,Month-to-Month,Credit Card,1267.95,2065.55,0
3407,0,46,None,Yes,Month-to-Month,Bank Withdrawal,4399.5,4763.78,1
3408,5,72,Offer A,Yes,Two Year,Bank Withdrawal,8046.85,9143.41,0
3409,0,19,Offer D,No,Month-to-Month,Credit Card,439.2,714.32,0
3410,1,29,None,Yes,Month-to-Month,Credit Card,2649.15,3823.36,1
3411,1,65,None,Yes,One Year,Bank Withdrawal,6792.45,7874.7,0
3412,10,67,None,Yes,Month-to-Month,Bank Withdrawal,5588.8,8597.1,0
3413,0,39,Offer C,Yes,Two Year,Bank Withdrawal,1971.15,2124.42,0
3414,7,72,None,No,Two Year,Credit Card,1849.2,4727.76,0
3415,0,47,Offer B,Yes,Two Year,Credit Card,1875.25,1875.25,0
3416,8,65,Offer B,Yes,One Year,Bank Withdrawal,6643.5,9023.8,0
3417,0,56,None,Yes,Two Year,Bank Withdrawal,5841.35,7352.67,0
3418,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,86.0,114.82,1
3419,1,37,Offer C,Yes,Month-to-Month,Bank Withdrawal,2868.15,3102.36,1
3420,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,44.9,86.68,1
3421,0,6,Offer E,Yes,One Year,Bank Withdrawal,567.8,616.16,0
3422,0,56,None,Yes,Two Year,Bank Withdrawal,4054.2,6125.84,0
3423,5,40,None,Yes,One Year,Bank Withdrawal,3355.65,3893.9,0
3424,8,5,Offer E,Yes,Month-to-Month,Bank Withdrawal,413.25,491.95,0
3425,0,70,Offer A,Yes,Two Year,Credit Card,7250.15,8103.45,1
3426,0,3,None,Yes,Two Year,Bank Withdrawal,196.4,336.35,0
3427,8,2,Offer E,Yes,Two Year,Mailed Check,130.5,215.6,0
3428,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,44.1,48.51,1
3429,1,58,Offer B,Yes,Two Year,Credit Card,3166.9,3166.9,0
3430,0,13,None,Yes,Month-to-Month,Credit Card,956.65,1347.43,0
3431,0,10,None,No,Month-to-Month,Bank Withdrawal,185.4,579.3,0
3432,0,66,None,Yes,One Year,Bank Withdrawal,7862.25,8078.07,0
3433,3,56,None,Yes,One Year,Bank Withdrawal,4557.5,7143.58,0
3434,0,1,None,Yes,Month-to-Month,Bank Withdrawal,69.65,100.78,1
3435,1,71,Offer A,Yes,Two Year,Bank Withdrawal,3377.8,3377.8,0
3436,0,56,Offer B,Yes,One Year,Bank Withdrawal,3665.55,6371.47,0
3437,0,24,None,Yes,Month-to-Month,Bank Withdrawal,2238.5,3018.26,1
3438,0,1,None,No,Month-to-Month,Mailed Check,20.0,66.77,1
3439,7,55,Offer B,Yes,One Year,Bank Withdrawal,4264.25,5153.05,0
3440,10,42,Offer B,No,Two Year,Mailed Check,828.85,2173.69,0
3441,10,42,None,Yes,Month-to-Month,Bank Withdrawal,3875.4,4620.9,0
3442,0,14,Offer D,No,Month-to-Month,Credit Card,300.4,419.96,0
3443,1,10,None,Yes,One Year,Bank Withdrawal,362.6,362.6,0
3444,9,22,Offer D,No,Two Year,Credit Card,555.4,1126.96,0
3445,1,32,None,Yes,Month-to-Month,Bank Withdrawal,2347.9,2519.91,1
3446,10,39,Offer C,No,Two Year,Bank Withdrawal,790.0,2209.21,0
3447,0,57,Offer B,Yes,Two Year,Credit Card,5779.6,7882.33,0
3448,0,8,None,Yes,Month-to-Month,Bank Withdrawal,713.6,1025.68,0
3449,0,63,Offer B,Yes,One Year,Bank Withdrawal,4576.3,5783.45,0
3450,8,61,Offer B,Yes,Two Year,Bank Withdrawal,3751.15,3751.15,0
3451,0,1,None,No,Month-to-Month,Mailed Check,19.8,29.46,1
3452,0,50,None,No,One Year,Mailed Check,1033.0,1897.5,0
3453,1,11,None,No,Month-to-Month,Mailed Check,214.75,539.69,1
3454,1,35,None,No,Two Year,Bank Withdrawal,809.25,1287.7,0
3455,0,1,Offer E,No,Month-to-Month,Mailed Check,20.15,41.74,1
3456,7,72,None,Yes,Two Year,Bank Withdrawal,5714.2,9250.84,0
3457,0,29,None,Yes,Month-to-Month,Bank Withdrawal,2862.75,3471.17,1
3458,0,29,Offer C,Yes,One Year,Credit Card,1964.6,2800.67,0
3459,0,5,Offer E,No,Month-to-Month,Mailed Check,126.05,284.85,1
3460,0,11,None,Yes,One Year,Bank Withdrawal,470.6,470.6,1
3461,3,54,None,Yes,One Year,Bank Withdrawal,3770.0,6386.3,0
3462,0,49,None,Yes,One Year,Bank Withdrawal,4287.2,6625.48,0
3463,5,72,None,Yes,Two Year,Credit Card,7898.45,9895.73,0
3464,1,9,None,Yes,Month-to-Month,Bank Withdrawal,661.25,956.28,1
3465,0,1,None,Yes,Month-to-Month,Bank Withdrawal,94.6,95.77,1
3466,0,31,None,Yes,Month-to-Month,Credit Card,2697.4,3732.18,1
3467,0,1,Offer E,Yes,Month-to-Month,Bank Withdrawal,84.6,91.94,0
3468,0,56,Offer B,Yes,One Year,Bank Withdrawal,5794.65,8527.45,1
3469,9,70,Offer A,Yes,Two Year,Credit Card,4858.7,6445.6,0
3470,4,55,None,Yes,Two Year,Bank Withdrawal,5044.8,6283.02,0
3471,0,3,None,Yes,Month-to-Month,Credit Card,188.7,331.74,1
3472,3,5,Offer E,Yes,Month-to-Month,Bank Withdrawal,453.75,638.15,1
3473,0,3,Offer E,Yes,Month-to-Month,Bank Withdrawal,220.1,338.24,1
3474,6,26,Offer C,Yes,Two Year,Credit Card,1905.7,2845.79,0
3475,0,25,None,Yes,Month-to-Month,Bank Withdrawal,1679.65,1680.86,0
3476,0,15,Offer D,Yes,Month-to-Month,Credit Card,939.7,1161.55,1
3477,4,31,None,Yes,Month-to-Month,Credit Card,1498.55,1635.75,0
3478,0,2,None,Yes,Month-to-Month,Bank Withdrawal,171.45,280.27,0
3479,0,1,None,Yes,Month-to-Month,Credit Card,53.55,55.14,1
3480,0,18,None,Yes,Month-to-Month,Credit Card,969.85,1608.25,0
3481,10,2,Offer E,Yes,One Year,Credit Card,181.65,257.85,0
3482,0,13,Offer D,Yes,Month-to-Month,Bank Withdrawal,923.85,1051.96,0
3483,1,40,None,No,Two Year,Credit Card,780.1,1989.3,0
3484,0,17,Offer D,No,One Year,Mailed Check,330.6,741.15,0
3485,0,10,None,No,Month-to-Month,Credit Card,199.45,437.85,0
3486,3,61,None,Yes,One Year,Bank Withdrawal,6241.35,8348.29,0
3487,0,27,None,Yes,Month-to-Month,Bank Withdrawal,1611.65,2528.03,0
3488,1,60,Offer B,Yes,Two Year,Bank Withdrawal,2288.7,2288.7,0
3489,3,64,Offer B,Yes,One Year,Credit Card,4392.5,6789.94,0
3490,0,28,None,Yes,Month-to-Month,Bank Withdrawal,1646.45,2737.61,0
3491,1,11,Offer D,No,Month-to-Month,Credit Card,180.3,499.41,1
3492,9,34,None,Yes,Month-to-Month,Bank Withdrawal,3410.0,4863.16,0
3493,0,36,Offer C,Yes,Two Year,Bank Withdrawal,2659.45,4155.97,0
3494,0,35,Offer C,Yes,Month-to-Month,Bank Withdrawal,1701.65,1701.65,0
3495,0,22,Offer D,No,Two Year,Credit Card,605.9,722.06,0
3496,0,4,None,Yes,Month-to-Month,Bank Withdrawal,355.2,588.48,1
3497,1,4,None,Yes,Month-to-Month,Bank Withdrawal,381.3,397.86,1
3498,5,43,None,No,One Year,Credit Card,817.95,2331.55,0
3499,2,70,Offer A,No,Two Year,Credit Card,1458.1,3647.26,0
3500,0,15,Offer D,Yes,One Year,Credit Card,1010.0,1311.65,0
3501,0,3,None,Yes,Month-to-Month,Credit Card,195.65,309.8,0
3502,1,7,None,Yes,Month-to-Month,Bank Withdrawal,340.25,376.16,1
3503,0,35,Offer C,Yes,Month-to-Month,Bank Withdrawal,3496.3,4885.45,1
3504,3,2,Offer E,Yes,Month-to-Month,Credit Card,80.55,140.93,1
3505,0,29,Offer C,No,One Year,Mailed Check,535.05,593.05,0
3506,0,72,Offer A,Yes,Two Year,Bank Withdrawal,4464.8,4464.8,0
3507,0,27,None,Yes,Month-to-Month,Mailed Check,2724.6,3024.03,1
3508,0,71,None,Yes,Two Year,Credit Card,5969.3,6188.69,0
